condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
only_backtracking,100,0.55,4.9,0.02,0.055,110,980,4,11,0.7197265625,690.48828125
only_backtracking,110,0.68,4.82,0.015,0.05,136,964,3,10,0.7197265625,691.888671875
only_backtracking,120,0.6,5.32,0.01,0.03,120,1064,2,6,0.71484375,675.6484375
only_backtracking,130,0.675,3.935,0.0,0.045,135,787,0,9,0.7197265625,642.1162109375
only_backtracking,140,0.61,4.95,0.01,0.06,122,990,2,12,0.728515625,639.056640625
only_backtracking,150,0.57,4.235,0.01,0.08,114,847,2,16,0.724609375,632.396484375
only_backtracking,160,0.64,4.54,0.02,0.115,128,908,4,23,0.7265625,638.095703125
only_backtracking,170,0.575,4.7,0.01,0.16,115,940,2,32,0.720703125,591.8388671875
only_backtracking,180,0.625,3.945,0.025,0.08,125,789,5,16,0.7490234375,682.6376953125
only_backtracking,190,0.62,5.115,0.04,0.095,124,1023,8,19,0.74609375,658.927734375
only_backtracking,200,0.62,4.255,0.03,0.04,124,851,6,8,0.75,641.7783203125
only_backtracking,210,0.64,4.165,0.035,0.115,128,833,7,23,0.7490234375,662.4072265625
only_backtracking,220,0.555,4.555,0.06,0.055,111,911,12,11,0.7587890625,629.716796875
only_backtracking,230,0.535,4.805,0.005,0.13,107,961,1,26,0.763671875,602.94140625
only_backtracking,240,0.59,4.865,0.01,0.06,118,973,2,12,0.763671875,587.921875
only_backtracking,250,0.64,4.585,0.045,0.095,128,917,9,19,0.7685546875,636.7548828125
backtracking_verification,0,2.565,2.945,0.615,0.065,513,589,123,13,0.4189453125,864.2822265625
backtracking_verification,10,4.425,5.55,0.305,0.06,885,1110,61,12,0.5341796875,1064.228515625
backtracking_verification,20,3.72,5.39,0.26,0.08,744,1078,52,16,0.5908203125,1080.3173828125
backtracking_verification,30,4.335,5.41,0.09,0.01,867,1082,18,2,0.6103515625,1015.6884765625
backtracking_verification,40,3.175,4.855,0.12,0.05,635,971,24,10,0.6513671875,973.185546875
backtracking_verification,50,3.65,4.545,0.155,0.0,730,909,31,0,0.6748046875,968.8359375
backtracking_verification,60,4.45,4.52,0.03,0.065,890,904,6,13,0.6943359375,911.703125
backtracking_verification,70,3.685,5.17,0.12,0.0,737,1034,24,0,0.703125,836.5908203125
backtracking_verification,80,3.465,5.085,0.095,0.02,693,1017,19,4,0.7158203125,821.07421875
backtracking_verification,90,4.01,4.555,0.04,0.025,802,911,8,5,0.7216796875,856.1953125
backtracking_verification,100,5.045,4.885,0.02,0.025,1009,977,4,5,0.716796875,822.2158203125
backtracking_verification,110,3.91,3.8,0.04,0.015,782,760,8,3,0.7392578125,783.677734375
backtracking_verification,120,4.2,4.435,0.035,0.015,840,887,7,3,0.7421875,798.455078125
backtracking_verification,130,3.9,3.48,0.02,0.015,780,696,4,3,0.7236328125,780.7294921875
backtracking_verification,140,3.295,4.18,0.03,0.05,659,836,6,10,0.728515625,716.3251953125
backtracking_verification,150,3.975,3.995,0.03,0.025,795,799,6,5,0.7412109375,752.0947265625
backtracking_verification,160,3.8,4.05,0.0,0.03,760,810,0,6,0.7314453125,740.6279296875
backtracking_verification,170,3.125,4.355,0.045,0.02,625,871,9,4,0.7294921875,742.1015625
backtracking_verification,180,4.11,5.15,0.055,0.09,822,1030,11,18,0.7431640625,770.0673828125
